X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-83.5,35.64,train,6.437785495198457E-4,72.24699112808062,0.7142325271088311
-82.9,35.95,train,1.8076923612742846E-4,44.69270866725141,0.41238771434952687
-81.64,35.6,train,6.749489353865049E-4,73.28346855942655,0.7237845056454059
-83.44,35.65,train,0.003132057613829437,95.28228348303871,0.9240099747396697
-76.86,36.82,train,4.0645469987192896E-5,10.190822417309668,0.13629174404300054
-82.29,35.64,test,0.0013692845439272955,86.29505700238239,0.8416716564724315
-83.9,35.97,test,6.184825059270027E-5,16.401966037988565,0.19362261730289737
-81.81,33.61,test,3.1014271269722436E-5,7.004638359021799,0.1074672355408685
-80.48,36.34,test,2.7644875067589676E-4,55.012560817140496,0.5176678368499786
-80.21,36.41,test,1.1330541536791801E-4,30.242597961956637,0.3055009922523899
-83.32,34.68,test,3.183681931909066E-4,58.509845798375736,0.5527736796942625
-81.2,33.81,test,3.722960093816336E-5,9.153568114240922,0.12628416988806462
-80.53,37.35,test,1.6539564852152444E-4,42.30905339112817,0.39103012500403483
-82.57,36.08,test,0.0010570206823779784,81.8999891615869,0.8040630688321486
-85.3,33.88,test,2.9684456654302092E-5,6.522132084874407,0.1033354707735002
-77.88,35.24,test,2.2264265151649395E-5,3.7823451933196055,0.07955989935833598
-85.63,34.5,test,8.048275284643166E-5,22.085095529712557,0.23807148388353622
-82.85,34.97,test,7.603307244100272E-4,76.55176991222058,0.7469533419700132
-83.56,35.18,test,8.200368883956295E-4,77.44427671333484,0.7609735990194844
-78.15,34.35,test,7.172982656952837E-6,0.21420289928785702,0.027093263427966977
-83.82,35.63,test,3.6311802587948183E-4,60.64976133123455,0.5850169757169859
-80.54,33.8,test,2.0814604260461025E-5,3.2842806697202205,0.07476694356938382
-87.77,35.06,test,8.16475443035925E-6,0.2849174508543825,0.030724216575934375
