"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","data.dwc:eventDate","data.dwc:year","data.dwc:month","data.dwc:day","collector","recordset"
"0554117b-5984-44a5-b203-6c3388c1af37","0e87ffff-c743-4e4f-b6bd-83db3d6d078a","cm149935","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1953",NA,NA,"henry, l.k.; beer, f.h.","db6c3db9-1e6d-4def-af29-33aa0339bfa9"
"0575974d-1807-403f-a561-8da5a8b5733f","dfbd1b77-0752-425a-b8d7-b2dc83891af6","ncu00331894","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1914",NA,NA,"totten, h. r.","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"059e8b68-040d-4a1d-9901-b0b38f1781d4","64e062ad-a3d7-4d12-bf0d-a3d395b93d6b","duke10095602","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"05bad93d-aa87-4f3a-a6c7-b32e247524a9","82d7f2d3-5eb1-41a4-bfad-bec85eb182af","015499","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,NA,NA,NA,"e23109b4-e143-437c-b329-3dff7cb35488"
"05e75be2-2eb7-466e-a3a6-cae455f1a5d1","82d98200-2332-4b13-adbf-d9686c4b10ed","odu00020343","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"1967",NA,NA,"r.c. dunton","0038ce2e-43bb-4f70-8dd6-dca34efd3fca"
"05ee85df-1ab2-4d9e-9349-d0696f3ef993","e7b60295-1c46-4740-bf43-22179c977b13","nlu0134127","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,NA,NA,NA,NA,NA,"e60301d9-9b40-483f-92de-065769b9d3dd"
"063a2b0c-6559-47c9-b19c-2b5f3920b92a","06262229-a0b2-4481-af9a-99e708e42aeb","442029","diapensiaceae","galax","galax urceolata","united states","virginia",-76.856807,36.824973,"2008-05-25","2008","5","25","daniel e atha","d7b285d4-2643-45ee-9302-b0c3d51dda5c"
"064816ad-de35-4521-a95e-d7fa1eb9cd72","c4f68a70-c8a8-4550-b6e1-1f4e319bd727","ga059193","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,"1938-06-04","1938","6","4","pyron, j; mcvaugh, r","beab5209-9628-4d4d-851e-2bc9bb1a0105"
"06547ae3-4d9f-4ac4-8201-1178c13d64ee","8a815755-95bb-4290-b990-915b2b7f3925",NA,"diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,"2019",NA,NA,"ethan l. hughes","e23109b4-e143-437c-b329-3dff7cb35488"
"067d4d33-b551-4ad6-a7d2-aff2372b525a","620437d4-7513-4061-8d78-0e9c237e67ea","ncu00326358","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,NA,NA,"ashe, william willard","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
