"name","lat","long"
"Galax urceolata",34.68,-83.15
"Galax urceolata",34.97,-83.31
"Galax urceolata",35.6,-82.27
"Galax urceolata",35.82,-82.12
"Galax urceolata",35.15,-84.6
"Galax urceolata",36.12,-81.69
"Galax urceolata",34.87,-83.81
"Galax urceolata",36.2,-81.95
"Galax urceolata",35.65,-83.48
"Galax urceolata",38.05,-81.09
"Galax urceolata",36.58,-80.21
"Galax urceolata",35.42,-82.54
"Galax urceolata",34.99,-83.71
"Galax urceolata",35.32,-82.83
"Galax urceolata",35.88,-83.34
"Galax urceolata",35.35,-82.78
"Galax urceolata",37.43,-80.55
"Galax urceolata",37.36,-80.54
"Galax urceolata",35.34,-82.67
"Galax urceolata",34.74,-83.94
"Galax urceolata",36.17,-81.72
"Galax urceolata",35.56,-83.31
"Galax urceolata",35.71,-83.58
"Galax urceolata",34.65,-84.2
"Galax urceolata",37.35,-80.56
"Galax urceolata",35.24,-82.75
"Galax urceolata",35.5,-82.77
"Galax urceolata",35.52,-83.83
"Galax urceolata",35.45,-82.7
"Galax urceolata",34.74,-83.39
"Galax urceolata",36.11,-81.79
"Galax urceolata",37.38,-80.01
"Galax urceolata",35.9,-81.91
"Galax urceolata",37.48,-80.11
"Galax urceolata",35.75,-83.21
"Galax urceolata",35.58,-83.32
"Galax urceolata",35.28,-82.84
"Galax urceolata",35.41,-82.8
"Galax urceolata",37.53,-79.77
"Galax urceolata",34.8,-83.74
"Galax urceolata",36.09,-81.83
"Galax urceolata",37.29,-82.31
"Galax urceolata",35.1,-82.95
"Galax urceolata",36.1,-81.83
"Galax urceolata",35.64,-82.31
"Galax urceolata",35.61,-82.36
"Galax urceolata",36.07,-81.87
"Galax urceolata",36.07,-81.86
"Galax urceolata",36.92,-82.63
"Galax urceolata",35.57,-82.71
"Galax urceolata",37,-81.17
"Galax urceolata",35.16,-83.53
"Galax urceolata",34.78,-84.71
"Galax urceolata",35.73,-78.21
"Galax urceolata",35.59,-82.3
"Galax urceolata",35.69,-83.5
"Galax urceolata",35.85,-81.9
"Galax urceolata",35.05,-82.81
"Galax urceolata",35.22,-82.74
"Galax urceolata",35.73,-78.78
"Galax urceolata",32.84,-84.82
"Galax urceolata",35.89,-83.13
"Galax urceolata",37.58,-79.48
"Galax urceolata",34.5,-84.3
"Galax urceolata",35.5,-82.48
"Galax urceolata",36.09,-81.95
"Galax urceolata",35.65,-82.31
"Galax urceolata",37.34,-79.89
"Galax urceolata",35.66,-82.29
"Galax urceolata",36.85,-84.33
"Galax urceolata",35.2,-82.82
"Galax urceolata",34,-84.41
"Galax urceolata",35.5,-82.6
"Galax urceolata",36.07,-79.12
"Galax urceolata",35.36,-83.93
"Galax urceolata",35.49,-82.44
"Galax urceolata",35.19,-82.62
