x,y,species_0 logistic values
147.0,147.0,0.0039952337
148.0,148.0,0.083305374
149.0,149.0,0.4571056
150.0,150.0,0.13571219
151.0,151.0,0.27534685
152.0,152.0,0.02858756
153.0,153.0,0.5436245
154.0,154.0,0.15800917
155.0,155.0,0.24571675
156.0,156.0,0.017818889
157.0,157.0,0.013312906
158.0,158.0,0.018754609
159.0,159.0,0.1200828
160.0,160.0,0.009819361
161.0,161.0,0.15792128
162.0,162.0,0.004080125
163.0,163.0,0.11354468
164.0,164.0,0.6320535
165.0,165.0,0.13281815
166.0,166.0,0.38787615
167.0,167.0,0.38829237
168.0,168.0,0.09410609
169.0,169.0,0.34322682
170.0,170.0,0.059011262
171.0,171.0,0.13886611
172.0,172.0,0.023045948
173.0,173.0,0.034593105
174.0,174.0,0.07497481
175.0,175.0,0.19716498
176.0,176.0,0.20922685
177.0,177.0,0.018490233
178.0,178.0,0.19506028
179.0,179.0,0.4524696
180.0,180.0,0.045517024
181.0,181.0,0.03820719
182.0,182.0,0.2343782
183.0,183.0,0.010090548
184.0,184.0,0.2734512
185.0,185.0,0.14091134
186.0,186.0,0.015463335
187.0,187.0,0.09422232
188.0,188.0,0.19584432
189.0,189.0,0.058890868
190.0,190.0,0.66097206
191.0,191.0,0.44222745
192.0,192.0,0.45813167
193.0,193.0,0.00791317
194.0,194.0,0.1228474
195.0,195.0,0.54472643
196.0,196.0,0.010501273
197.0,197.0,0.14972773
198.0,198.0,0.28542814
199.0,199.0,0.32922092
200.0,200.0,0.012621834
201.0,201.0,0.06899668
202.0,202.0,0.26480788
203.0,203.0,0.038960908
204.0,204.0,0.14509217
205.0,205.0,0.6183189
206.0,206.0,0.16379595
207.0,207.0,0.08096777
208.0,208.0,0.114226975
209.0,209.0,0.080985785
210.0,210.0,0.20016855
211.0,211.0,0.014622528
212.0,212.0,0.41846117
213.0,213.0,0.14899698
214.0,214.0,0.027678277
215.0,215.0,0.04113482
216.0,216.0,0.21033914
217.0,217.0,0.018433439
218.0,218.0,0.009296994
219.0,219.0,0.004358213
220.0,220.0,0.08279849
221.0,221.0,0.33834365
222.0,222.0,0.12038806
223.0,223.0,0.015965499
224.0,224.0,0.01797027
225.0,225.0,0.05901458
226.0,226.0,0.04964264
227.0,227.0,0.028355936
228.0,228.0,0.30607358
229.0,229.0,0.03614326
230.0,230.0,0.043888506
231.0,231.0,0.014213443
232.0,232.0,0.030553304
233.0,233.0,0.027906068
234.0,234.0,0.038815238
235.0,235.0,0.0073801093
236.0,236.0,0.04274982
237.0,237.0,0.025764827
238.0,238.0,0.43386832
239.0,239.0,0.012034859
240.0,240.0,0.67789996
241.0,241.0,0.06006457
242.0,242.0,0.5958959
243.0,243.0,0.062543854
244.0,244.0,0.04662771
245.0,245.0,0.022645395
246.0,246.0,0.30527315
247.0,247.0,0.05663433
248.0,248.0,0.21011002
249.0,249.0,0.031815533
250.0,250.0,0.051909506
251.0,251.0,0.18017486
252.0,252.0,0.0019178814
253.0,253.0,0.05166502
254.0,254.0,0.60773444
255.0,255.0,0.017899765
256.0,256.0,0.5259954
257.0,257.0,0.040644743
258.0,258.0,0.08151742
259.0,259.0,0.10711081
260.0,260.0,0.067930505
261.0,261.0,0.06705964
262.0,262.0,0.010791564
263.0,263.0,0.02366055
264.0,264.0,0.055160977
265.0,265.0,0.11534996
266.0,266.0,0.29203457
267.0,267.0,0.098950304
268.0,268.0,0.15157877
269.0,269.0,0.012152786
270.0,270.0,0.03709034
271.0,271.0,0.00976366
272.0,272.0,0.0248257
273.0,273.0,0.063741826
274.0,274.0,0.1702854
275.0,275.0,0.024021119
276.0,276.0,0.09856076
277.0,277.0,0.0049099154
278.0,278.0,0.026239946
279.0,279.0,0.048012596
280.0,280.0,0.0014933415
281.0,281.0,0.03756045
282.0,282.0,0.13471971
283.0,283.0,0.12869926
284.0,284.0,0.07077177
285.0,285.0,0.03765863
286.0,286.0,0.5634687
287.0,287.0,0.026885116
288.0,288.0,0.053605556
289.0,289.0,0.50050354
290.0,290.0,0.090890646
291.0,291.0,0.06989741
292.0,292.0,0.057191048
293.0,293.0,0.03487042
294.0,294.0,0.05200994
295.0,295.0,0.15012668
296.0,296.0,0.021945661
297.0,297.0,0.01146929
298.0,298.0,0.03715642
299.0,299.0,0.05187066
300.0,300.0,0.007938363
301.0,301.0,0.18540578
302.0,302.0,0.036564052
303.0,303.0,0.050798856
304.0,304.0,0.16008775
305.0,305.0,0.116417766
306.0,306.0,0.03894723
307.0,307.0,0.027139168
