x,y,species avg
260.0,260.0,0.008432172
261.0,261.0,0.5168236
262.0,262.0,0.0993256
263.0,263.0,0.24570614
264.0,264.0,0.22723013
265.0,265.0,0.40798312
266.0,266.0,0.15225025
267.0,267.0,0.20375608
268.0,268.0,0.026813986
269.0,269.0,0.048241597
270.0,270.0,0.045099802
271.0,271.0,0.093557104
272.0,272.0,0.33822295
273.0,273.0,0.36701086
274.0,274.0,0.2770554
275.0,275.0,0.123021
276.0,276.0,0.23285776
277.0,277.0,0.32429785
278.0,278.0,0.14759189
279.0,279.0,0.47329494
280.0,280.0,0.45214948
281.0,281.0,0.15267995
282.0,282.0,0.24478137
283.0,283.0,0.32776445
284.0,284.0,0.6267621
285.0,285.0,0.2787296
286.0,286.0,0.3002072
287.0,287.0,0.27838877
288.0,288.0,0.2634781
289.0,289.0,0.34149176
290.0,290.0,0.3029304
291.0,291.0,0.1402659
292.0,292.0,0.042190615
293.0,293.0,0.04480209
294.0,294.0,0.025912507
295.0,295.0,0.10365892
296.0,296.0,0.1746469
297.0,297.0,0.13940425
298.0,298.0,0.45916003
299.0,299.0,0.17771292
300.0,300.0,0.15824981
301.0,301.0,0.21646526
302.0,302.0,0.50868565
303.0,303.0,0.03359125
304.0,304.0,0.21584022
305.0,305.0,0.02540477
306.0,306.0,0.24524225
307.0,307.0,0.25934967
308.0,308.0,0.104984984
309.0,309.0,0.22198375
310.0,310.0,0.2740442
311.0,311.0,0.029418426
312.0,312.0,0.098090805
313.0,313.0,0.28811184
314.0,314.0,0.14493498
315.0,315.0,0.29498821
316.0,316.0,0.3412723
317.0,317.0,0.113648966
318.0,318.0,0.05928974
319.0,319.0,0.06980561
320.0,320.0,0.13426007
321.0,321.0,0.021985767
322.0,322.0,0.39025134
323.0,323.0,0.19827187
324.0,324.0,0.25949752
325.0,325.0,0.116339535
326.0,326.0,0.26237184
327.0,327.0,0.23072127
328.0,328.0,0.17120348
329.0,329.0,0.4110004
330.0,330.0,0.1826411
331.0,331.0,0.20312135
332.0,332.0,0.03735846
333.0,333.0,0.19553621
334.0,334.0,0.062467843
335.0,335.0,0.16364864
336.0,336.0,0.088168606
337.0,337.0,0.3694382
338.0,338.0,0.57421917
339.0,339.0,0.057613254
340.0,340.0,0.09948486
341.0,341.0,0.06418216
342.0,342.0,0.14614607
343.0,343.0,0.15419395
344.0,344.0,0.13621335
345.0,345.0,0.26696396
346.0,346.0,0.14406472
347.0,347.0,0.19990295
348.0,348.0,0.1263996
349.0,349.0,0.29426143
350.0,350.0,0.20878275
351.0,351.0,0.04318092
352.0,352.0,0.47567943
353.0,353.0,0.20945564
354.0,354.0,0.0641648
355.0,355.0,0.34495062
356.0,356.0,0.38997477
357.0,357.0,0.24387065
358.0,358.0,0.1782364
359.0,359.0,0.08786028
360.0,360.0,0.07165049
361.0,361.0,0.14241433
362.0,362.0,0.09102154
363.0,363.0,0.21758042
364.0,364.0,0.20927621
365.0,365.0,0.16976582
366.0,366.0,0.12204522
367.0,367.0,0.02497284
368.0,368.0,0.1038686
369.0,369.0,0.092526376
370.0,370.0,0.2983721
371.0,371.0,0.47662807
372.0,372.0,0.25866264
373.0,373.0,0.434358
374.0,374.0,0.16326487
375.0,375.0,0.22440264
376.0,376.0,0.13455161
377.0,377.0,0.02893313
378.0,378.0,0.15283358
379.0,379.0,0.31406307
380.0,380.0,0.18142094
381.0,381.0,0.02245886
382.0,382.0,0.19606805
383.0,383.0,0.41115743
384.0,384.0,0.2014591
385.0,385.0,0.112986505
386.0,386.0,0.61086816
387.0,387.0,0.22723225
388.0,388.0,0.16144879
389.0,389.0,0.21200895
390.0,390.0,0.20616122
391.0,391.0,0.19531186
392.0,392.0,0.22922961
393.0,393.0,0.55159235
394.0,394.0,0.24039988
395.0,395.0,0.17913438
396.0,396.0,0.016665444
397.0,397.0,0.372674
398.0,398.0,0.13772753
399.0,399.0,0.33075386
400.0,400.0,0.275916
401.0,401.0,0.56668794
402.0,402.0,0.23435155
403.0,403.0,0.024045669
404.0,404.0,0.26798922
405.0,405.0,0.3119402
406.0,406.0,0.08318948
407.0,407.0,0.24880815
408.0,408.0,0.1930343
409.0,409.0,0.2525994
410.0,410.0,0.36246625
411.0,411.0,0.22084662
412.0,412.0,0.029161284
413.0,413.0,0.17863412
414.0,414.0,0.4370442
415.0,415.0,0.26130858
416.0,416.0,0.6965573
417.0,417.0,0.28556487
418.0,418.0,0.17109928
419.0,419.0,0.22566238
420.0,420.0,0.024867423
421.0,421.0,0.09456462
422.0,422.0,0.22417063
423.0,423.0,0.053943634
424.0,424.0,0.084693395
425.0,425.0,0.078429565
426.0,426.0,0.2699189
427.0,427.0,0.029749403
428.0,428.0,0.12956323
429.0,429.0,0.15543032
430.0,430.0,0.37658736
431.0,431.0,0.31953818
432.0,432.0,0.18708597
433.0,433.0,0.17561041
434.0,434.0,0.042115346
435.0,435.0,0.21984312
436.0,436.0,0.2512101
437.0,437.0,0.64692515
438.0,438.0,0.28929135
439.0,439.0,0.22456612
440.0,440.0,0.025221795
441.0,441.0,0.23879799
442.0,442.0,0.24252233
443.0,443.0,0.2233186
444.0,444.0,0.33071244
445.0,445.0,0.39606363
446.0,446.0,0.24331807
447.0,447.0,0.029944772
448.0,448.0,0.026931623
449.0,449.0,0.044629037
450.0,450.0,0.28410408
451.0,451.0,0.038618706
452.0,452.0,0.41893768
453.0,453.0,0.20929796
454.0,454.0,0.40619096
455.0,455.0,0.22714378
456.0,456.0,0.14622149
457.0,457.0,0.18333355
458.0,458.0,0.20580928
459.0,459.0,0.31306836
460.0,460.0,0.7624926
461.0,461.0,0.01964517
462.0,462.0,0.15413617
463.0,463.0,0.21205151
464.0,464.0,0.22156094
465.0,465.0,0.47451475
466.0,466.0,0.023806855
467.0,467.0,0.03586763
468.0,468.0,0.25883698
469.0,469.0,0.10153084
470.0,470.0,0.23873879
471.0,471.0,0.19577152
472.0,472.0,0.034727484
473.0,473.0,0.49758175
474.0,474.0,0.22246027
475.0,475.0,0.16009617
476.0,476.0,0.09164276
477.0,477.0,0.07752049
478.0,478.0,0.5931634
479.0,479.0,0.14598009
480.0,480.0,0.15362728
481.0,481.0,0.60674995
482.0,482.0,0.18563204
483.0,483.0,0.19844642
484.0,484.0,0.45605353
485.0,485.0,0.033657648
486.0,486.0,0.61789083
487.0,487.0,0.14246672
488.0,488.0,0.22538938
489.0,489.0,0.21064706
490.0,490.0,0.7486455
