x,y,species min
272.0,272.0,0.0248257
273.0,273.0,0.051185433
274.0,274.0,0.16381201
275.0,275.0,0.019177763
276.0,276.0,0.09856076
277.0,277.0,0.0039015277
278.0,278.0,0.02210048
279.0,279.0,0.038707107
280.0,280.0,0.0010078044
281.0,281.0,0.02663584
282.0,282.0,0.10540458
283.0,283.0,0.12620968
284.0,284.0,0.055069685
285.0,285.0,0.03765863
286.0,286.0,0.5428507
287.0,287.0,0.02325645
288.0,288.0,0.04425683
289.0,289.0,0.477056
290.0,290.0,0.048318543
291.0,291.0,0.055400845
292.0,292.0,0.048249375
293.0,293.0,0.034465317
294.0,294.0,0.05200994
295.0,295.0,0.13272157
296.0,296.0,0.021945661
297.0,297.0,0.008486738
298.0,298.0,0.03715642
299.0,299.0,0.05187066
300.0,300.0,0.0056423405
301.0,301.0,0.16539992
302.0,302.0,0.030740961
303.0,303.0,0.03854419
304.0,304.0,0.14699365
305.0,305.0,0.10965011
306.0,306.0,0.031636875
307.0,307.0,0.023647103
308.0,308.0,0.054839216
309.0,309.0,0.03907061
310.0,310.0,0.03841612
311.0,311.0,0.3172414
312.0,312.0,0.08117523
313.0,313.0,0.020241732
314.0,314.0,0.011455521
315.0,315.0,0.02910677
316.0,316.0,0.029191744
317.0,317.0,0.053228192
318.0,318.0,0.10838653
319.0,319.0,0.010211141
320.0,320.0,0.35141113
321.0,321.0,0.21236892
322.0,322.0,0.014104556
323.0,323.0,0.022941314
324.0,324.0,0.08766331
325.0,325.0,0.10870403
326.0,326.0,0.5987672
327.0,327.0,0.0021022167
328.0,328.0,0.24953574
329.0,329.0,0.07078521
330.0,330.0,0.03448323
331.0,331.0,0.0035154282
332.0,332.0,0.19990915
333.0,333.0,0.017156387
334.0,334.0,0.015320387
335.0,335.0,0.015182105
336.0,336.0,0.0412961
337.0,337.0,0.054418862
338.0,338.0,0.10339289
339.0,339.0,0.081406064
340.0,340.0,0.02474668
341.0,341.0,0.64563423
342.0,342.0,0.028885536
343.0,343.0,0.005192266
344.0,344.0,0.23458946
345.0,345.0,0.027164837
346.0,346.0,0.055381726
347.0,347.0,0.01695586
348.0,348.0,0.018157862
349.0,349.0,0.3084417
350.0,350.0,0.5917739
351.0,351.0,0.0123928115
352.0,352.0,0.012808922
353.0,353.0,0.003663006
354.0,354.0,0.058947194
355.0,355.0,0.03066557
356.0,356.0,0.018455397
357.0,357.0,0.048151743
358.0,358.0,0.03785526
359.0,359.0,0.108415045
360.0,360.0,0.013486597
361.0,361.0,0.077982455
362.0,362.0,0.038141895
363.0,363.0,0.034339283
364.0,364.0,0.05205444
365.0,365.0,0.04199078
366.0,366.0,0.18556114
367.0,367.0,0.4013784
368.0,368.0,0.07117157
369.0,369.0,0.049683746
370.0,370.0,0.33498704
371.0,371.0,0.3218617
372.0,372.0,0.052573573
373.0,373.0,0.088875845
374.0,374.0,0.010076194
375.0,375.0,0.015557411
376.0,376.0,0.5735806
377.0,377.0,0.029115165
378.0,378.0,0.012495374
379.0,379.0,0.012726991
380.0,380.0,0.048372254
381.0,381.0,0.19253398
382.0,382.0,0.19759744
383.0,383.0,0.061310638
384.0,384.0,0.015392891
385.0,385.0,0.0522884
386.0,386.0,0.2790476
387.0,387.0,0.07643475
388.0,388.0,0.018804938
389.0,389.0,0.0052266885
390.0,390.0,0.020863226
391.0,391.0,0.026191905
392.0,392.0,0.34602377
393.0,393.0,0.23383781
394.0,394.0,0.03499521
395.0,395.0,0.035126086
396.0,396.0,0.01587343
397.0,397.0,0.014887878
398.0,398.0,0.14558399
399.0,399.0,0.114445195
400.0,400.0,0.013572696
401.0,401.0,0.029204905
402.0,402.0,0.54109746
403.0,403.0,0.1223133
404.0,404.0,0.09685802
405.0,405.0,0.008840025
406.0,406.0,0.09684733
407.0,407.0,0.08907459
408.0,408.0,0.026978761
409.0,409.0,0.012992879
410.0,410.0,0.056726314
411.0,411.0,0.04227467
412.0,412.0,0.017213883
413.0,413.0,0.20274572
414.0,414.0,0.011098393
415.0,415.0,0.097642004
416.0,416.0,0.0045384625
417.0,417.0,0.0648156
418.0,418.0,0.011522779
