X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1181.0,1181.0,train,3.566059350805774E-4,51.46344567447641,0.6031354979111082
1182.0,1182.0,train,2.090636281190126E-4,33.00188005983399,0.47117057647457306
1183.0,1183.0,train,1.4303649661562135E-4,24.160965679266265,0.3787200353231758
1184.0,1184.0,train,5.082664062069276E-4,75.6715933215897,0.6841524998018051
1186.0,1186.0,train,4.3649006891438797E-4,63.80831621374174,0.6503734688691578
1187.0,1187.0,train,7.330064024420809E-4,96.29363757235245,0.7575088577015595
1188.0,1188.0,train,1.4690933482504188E-4,24.66466602792588,0.38502608612627504
1189.0,1189.0,train,3.7005274854322675E-4,53.24311871470181,0.6119606355567657
1191.0,1191.0,train,1.9461237253954575E-4,31.12666295790943,0.4533672604820803
1192.0,1192.0,train,5.335908525008672E-4,79.22552824504089,0.6945641943334656
1194.0,1194.0,train,1.1678207064378918E-4,20.330928907502948,0.3323057600498929
1195.0,1195.0,train,4.732631675539616E-5,10.165444281688908,0.16783940177896603
1196.0,1196.0,train,6.0240508351326155E-5,12.3374162255171,0.20428266529702419
1197.0,1197.0,train,6.663465717126499E-4,92.90990304471914,0.7395682085864579
1198.0,1198.0,train,5.270636296828723E-4,78.35316774355329,0.6919468667377908
1201.0,1201.0,train,4.448451324545377E-4,65.08425312689032,0.6546724880822161
1202.0,1202.0,train,4.3867088018938465E-4,64.19700954674921,0.6515058744343903
1203.0,1203.0,train,3.557506863019028E-4,51.31171990174946,0.602560601360831
1205.0,1205.0,train,8.311010711476633E-5,16.080301904079818,0.26155190371891435
1206.0,1206.0,train,6.239929964654575E-4,89.12166250329108,0.7267220669041009
1207.0,1207.0,train,2.765314822767683E-4,40.83421813372474,0.5409680205082827
1208.0,1208.0,train,4.4338360932861674E-4,64.74560694232508,0.6539281208436181
1209.0,1209.0,train,6.790961706125715E-4,93.82585722302636,0.7432020514106189
1211.0,1211.0,train,6.810280048967654E-4,94.00743468780861,0.7437438274856951
1212.0,1212.0,train,4.6508326287628257E-4,68.70407548825588,0.664660305673181
1213.0,1213.0,train,6.784325812618071E-4,93.76406718377571,0.7430154211385962
1215.0,1215.0,train,4.4435980014768007E-4,65.02072946886284,0.6544256592220635
1216.0,1216.0,train,5.965412530094373E-4,86.2449429064289,0.7176964927699966
1218.0,1218.0,train,1.3484402861133232E-5,2.952616759015884,0.05434368855714353
1219.0,1219.0,train,4.301815173521449E-4,62.48925446632431,0.647055868492323
1220.0,1220.0,train,4.6013176498859755E-4,67.73275533641645,0.6622704332758499
1222.0,1222.0,train,6.29071084434389E-6,0.8651372232271424,0.02610922865673631
1224.0,1224.0,train,3.7971896425664163E-4,54.83649467226654,0.618065904022733
1225.0,1225.0,train,3.9747658657081125E-4,57.936700165927355,0.6287951920963731
1227.0,1227.0,train,1.6674470970891726E-4,27.252252413250652,0.4154159089088556
1228.0,1228.0,train,4.095992607869384E-4,59.65817052610782,0.6357800855039408
1229.0,1229.0,train,6.733957069532564E-4,93.38258836582419,0.7415899393853475
1230.0,1230.0,train,4.625843585677933E-4,68.51412174274382,0.6634584360276377
1233.0,1233.0,train,2.4467172759621946E-4,37.76901694270868,0.5104567340649582
1234.0,1234.0,train,5.805607538969807E-4,85.02709171849375,0.7121625069153994
1235.0,1235.0,train,7.25172176385849E-4,96.03671490375821,0.7555296000641727
1236.0,1236.0,train,4.6940313701901415E-4,69.54344336857227,0.6667178640332908
1237.0,1237.0,train,3.051832744908676E-4,44.75541354657185,0.5653313756791982
1238.0,1238.0,train,4.364249025991109E-4,63.78759798180672,0.6503395174316351
1239.0,1239.0,train,1.9460612823259766E-4,31.12592277265588,0.4533593086736684
1240.0,1240.0,train,4.6961234899766465E-4,69.57915820093454,0.6668168709768127
1241.0,1241.0,train,3.0170918428431E-4,44.30798647477434,0.5625159395067225
1242.0,1242.0,train,4.6128322640548577E-4,68.17880765446041,0.6628292282112612
1243.0,1243.0,train,1.1369350681049316E-4,19.94167829924827,0.32638565234021316
1244.0,1244.0,train,4.8721385987310475E-4,72.51713262118734,0.6749410438351686
1247.0,1247.0,train,2.1922531834083002E-4,34.42542833073731,0.4830104588436141
1248.0,1248.0,train,1.9408779200871224E-4,31.064480432858577,0.4526984261269962
1249.0,1249.0,train,5.827113299087456E-4,85.11989053378898,0.7129198443113026
1250.0,1250.0,train,5.506242964645284E-4,81.30242578846425,0.7011894465103606
1251.0,1251.0,train,1.1922528123032701E-4,20.681493941816317,0.3369156586383498
1252.0,1252.0,train,9.226371635674195E-4,99.64945240350468,0.7972430573499386
1253.0,1253.0,train,5.759154761370416E-5,11.877987135419978,0.19706999473287198
1255.0,1255.0,train,2.9685470576863287E-4,43.555499131777964,0.558520176274209
1256.0,1256.0,train,3.096219920012339E-4,45.43229172918802,0.5688762578774834
1257.0,1257.0,train,3.435781599418185E-4,49.45743868525587,0.5941938997598137
1258.0,1258.0,train,5.485491551650148E-4,80.86544146628478,0.7003977243853643
1259.0,1259.0,train,4.452025373516366E-4,65.13100673602614,0.6548540306828557
1260.0,1260.0,train,5.980216831819116E-4,86.51047667513332,0.7181984095434748
1261.0,1261.0,train,6.476897675007457E-4,91.4616983855554,0.7340614424995957
1262.0,1262.0,train,6.303701704057888E-4,89.6204762192281,0.7287367551268086
1263.0,1263.0,train,6.369525027417991E-4,90.2822485074201,0.7307853379885227
1265.0,1265.0,train,5.173093632991715E-4,77.02505929035632,0.6879508498543435
1266.0,1266.0,train,5.191381277232453E-4,77.38299582954947,0.6887079144138255
1267.0,1267.0,train,1.748834225008105E-4,28.215414450764285,0.42703349809773816
