x,y,species max
630.0,630.0,0.44614926
631.0,631.0,0.047299907
632.0,632.0,0.21996276
633.0,633.0,0.07117548
634.0,634.0,0.12584347
635.0,635.0,0.32897142
636.0,636.0,0.16275583
637.0,637.0,0.45949066
638.0,638.0,0.169192
639.0,639.0,0.37032932
640.0,640.0,0.3810183
641.0,641.0,0.16867995
642.0,642.0,0.21910499
643.0,643.0,0.44302726
644.0,644.0,0.05463773
645.0,645.0,0.11039757
646.0,646.0,0.11766519
647.0,647.0,0.5446538
648.0,648.0,0.06465738
649.0,649.0,0.3102044
650.0,650.0,0.066211104
651.0,651.0,0.15882623
652.0,652.0,0.041105654
653.0,653.0,0.4845687
654.0,654.0,0.3439096
655.0,655.0,0.2335754
656.0,656.0,0.31070736
657.0,657.0,0.04846841
658.0,658.0,0.3089996
659.0,659.0,0.33186856
660.0,660.0,0.18657316
661.0,661.0,0.26112488
662.0,662.0,0.3069926
663.0,663.0,0.24984996
664.0,664.0,0.13555656
665.0,665.0,0.7323398
666.0,666.0,0.310617
667.0,667.0,0.3696698
668.0,668.0,0.887361
669.0,669.0,0.81760377
670.0,670.0,0.4085843
671.0,671.0,0.10534218
672.0,672.0,0.23198397
673.0,673.0,0.3764225
674.0,674.0,0.16742517
675.0,675.0,0.19212355
676.0,676.0,0.19458069
677.0,677.0,0.16800922
678.0,678.0,0.17490312
679.0,679.0,0.33326
680.0,680.0,0.20479566
681.0,681.0,0.04942708
682.0,682.0,0.3233284
683.0,683.0,0.0642797
684.0,684.0,0.08119949
685.0,685.0,0.07154197
686.0,686.0,0.28581586
687.0,687.0,0.124147475
688.0,688.0,0.1790119
689.0,689.0,0.44822752
690.0,690.0,0.060919486
691.0,691.0,0.33480245
692.0,692.0,0.38887313
693.0,693.0,0.5967739
694.0,694.0,0.23318459
695.0,695.0,0.24217866
696.0,696.0,0.50514805
697.0,697.0,0.26726258
698.0,698.0,0.07221869
699.0,699.0,0.10677802
700.0,700.0,0.21565977
701.0,701.0,0.288608
702.0,702.0,0.42660022
703.0,703.0,0.05578723
704.0,704.0,0.18404545
