Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
7.4622E-5,22.756559781,0.237558256,0.347921225,0.12962963,0.166666667
7.51684E-5,23.003751128,0.238882275,0.34463895,0.12962963,0.166666667
7.55834E-5,23.252392681,0.239884784,0.341356674,0.12962963,0.166666667
7.61946E-5,23.502905866,0.241356252,0.338074398,0.12962963,0.166666667
7.66032E-5,23.754997404,0.242336929,0.334792123,0.12962963,0.166666667
7.72133E-5,24.001183148,0.243796544,0.33160931,0.148148148,0.166666667
7.78845E-5,24.257283108,0.245395673,0.328327034,0.148148148,0.166666667
7.84377E-5,24.507438022,0.246708723,0.325144221,0.148148148,0.166666667
7.90672E-5,24.751439412,0.248197167,0.322060871,0.148148148,0.166666667
7.9581E-5,25.005203855,0.249407857,0.318878058,0.148148148,0.166666667
8.01314E-5,25.252810868,0.250700374,0.315794709,0.148148148,0.166666667
8.06597E-5,25.502066481,0.251936842,0.312711359,0.148148148,0.166666667
8.12238E-5,25.753062727,0.253252555,0.309628009,0.148148148,0.166666667
8.18398E-5,26.005658436,0.254684029,0.306544659,0.166666667,0.166666667
8.21856E-5,26.251641659,0.255485262,0.303560772,0.166666667,0.166666667
8.2745E-5,26.507351136,0.256777611,0.300477422,0.166666667,0.166666667
8.31756E-5,26.756227062,0.25776945,0.297493535,0.166666667,0.166666667
8.37005E-5,27.002643321,0.25897486,0.294509648,0.166666667,0.222222222
8.43788E-5,27.250281886,0.260526837,0.291625224,0.166666667,0.277777778
8.52211E-5,27.504788859,0.262444876,0.288641337,0.166666667,0.277777778
8.5872E-5,27.752866338,0.263920389,0.285756913,0.166666667,0.277777778
8.66127E-5,28.002941845,0.265592182,0.282872489,0.166666667,0.277777778
8.72517E-5,28.25520561,0.267028425,0.279988064,0.185185185,0.277777778
8.82639E-5,28.500889036,0.269291974,0.277203103,0.185185185,0.277777778
8.88776E-5,28.757872836,0.270657586,0.274318679,0.185185185,0.277777778
8.96507E-5,29.007785148,0.272370782,0.271533718,0.185185185,0.277777778
9.0267E-5,29.250742374,0.273730567,0.26884822,0.185185185,0.277777778
9.09689E-5,29.504501368,0.275273116,0.266063258,0.185185185,0.277777778
9.17463E-5,29.751296815,0.276974087,0.26337776,0.185185185,0.277777778
9.23945E-5,30.008918373,0.278386216,0.260592799,0.185185185,0.277777778
9.31658E-5,30.250140012,0.280059267,0.258006763,0.185185185,0.277777778
9.38742E-5,30.5026289,0.281589154,0.255321265,0.185185185,0.277777778
9.4473E-5,30.756947907,0.282877149,0.252635767,0.185185185,0.277777778
9.51156E-5,31.003482977,0.284254412,0.250049731,0.185185185,0.277777778
9.59106E-5,31.251921742,0.285950862,0.247463696,0.185185185,0.277777778
9.65473E-5,31.502176276,0.287303697,0.244877661,0.185185185,0.277777778
9.69677E-5,31.753851109,0.288194299,0.242291625,0.203703704,0.277777778
9.78179E-5,32.007048213,0.289988401,0.23970559,0.203703704,0.277777778
9.83923E-5,32.252207324,0.291195355,0.237219017,0.222222222,0.277777778
9.919E-5,32.509104012,0.292864705,0.234632982,0.222222222,0.277777778
9.98974E-5,32.756693978,0.294338618,0.232146409,0.222222222,0.277777778
1.00494E-4,33.008566357,0.295577616,0.229659837,0.222222222,0.333333333
1.01373E-4,33.251080111,0.297393835,0.227272727,0.222222222,0.333333333
1.02249E-4,33.505728098,0.299195073,0.224786155,0.240740741,0.333333333
1.02884E-4,33.75203075,0.300494321,0.222399045,0.240740741,0.333333333
1.03835E-4,34.010349868,0.302430912,0.219912473,0.240740741,0.333333333
1.0445E-4,34.260414848,0.303678578,0.217525363,0.240740741,0.333333333
1.05125E-4,34.501438152,0.305041909,0.215237716,0.240740741,0.333333333
1.05968E-4,34.754804587,0.30673935,0.212850607,0.240740741,0.388888889
1.06488E-4,35.009759108,0.307781434,0.210463497,0.240740741,0.388888889
1.0709E-4,35.25542836,0.308982264,0.20817585,0.259259259,0.388888889
1.07811E-4,35.502599232,0.310417956,0.205888204,0.259259259,0.388888889
1.08419E-4,35.751183321,0.311622485,0.203600557,0.259259259,0.388888889
1.09332E-4,36.001939481,0.313424431,0.20131291,0.259259259,0.388888889
1.10007E-4,36.254149185,0.314750291,0.199025264,0.259259259,0.388888889
1.10778E-4,36.508145099,0.316257762,0.196737617,0.259259259,0.388888889
1.11866E-4,36.753295899,0.318375618,0.194549433,0.259259259,0.388888889
1.12966E-4,37.000615183,0.320503364,0.192361249,0.259259259,0.388888889
1.13846E-4,37.250282826,0.322196032,0.190173065,0.259259259,0.388888889
1.14446E-4,37.501467643,0.323344065,0.187984882,0.259259259,0.388888889
1.15337E-4,37.754297012,0.325043878,0.185796698,0.277777778,0.388888889
1.16135E-4,38.009006838,0.326557553,0.183608514,0.277777778,0.388888889
1.16845E-4,38.253623579,0.327900357,0.181519793,0.296296296,0.388888889
1.17548E-4,38.511474748,0.32922319,0.179331609,0.314814815,0.388888889
1.18314E-4,38.759166373,0.33065948,0.177242888,0.314814815,0.388888889
1.19262E-4,39.00866651,0.332426934,0.175154167,0.333333333,0.388888889
1.20185E-4,39.260071837,0.334139939,0.173065447,0.333333333,0.388888889
1.2107E-4,39.501471062,0.335775045,0.171076189,0.333333333,0.444444444
1.21953E-4,39.756653524,0.337396929,0.168987468,0.333333333,0.444444444
1.22762E-4,40.00128907,0.338877074,0.16699821,0.333333333,0.444444444
1.23481E-4,40.25973805,0.340186461,0.164909489,0.333333333,0.444444444
1.24391E-4,40.507708718,0.341837164,0.162920231,0.333333333,0.444444444
1.25229E-4,40.757390124,0.343349947,0.160930973,0.333333333,0.444444444
1.26082E-4,41.008769089,0.344881478,0.158941715,0.333333333,0.444444444
1.2695E-4,41.261841093,0.346432404,0.156952457,0.333333333,0.444444444
1.27942E-4,41.50389587,0.348197096,0.155062662,0.333333333,0.444444444
1.28975E-4,41.760823172,0.350025335,0.153073404,0.333333333,0.444444444
