"scientificName","genus","specificEpithet","infraspecificEpithet","ID","occurrenceID","basisOfRecord","eventDate","year","month","day","institutionCode","recordedBy","country","county","stateProvince","locality","latitude","longitude","coordinateUncertaintyInMeters","informationWithheld","habitat","aggregator","accepted_name"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"3f18e08b-5a85-4ffd-ba9b-f421953ec459","3af66c12-8b4a-400d-81ed-b9245aaa8c45","PreservedSpecimen","1942-04-01",1942,4,1,"PH","Bayard Long","United States","Monmouth","New Jersey","Locality: just NW of Shark River Station Occurrence Remarks: NA Verbatim Locality: NA",40.24,-74.14,882,NA,"abundant, dry sandy pine and oak scrub","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"4052e9fa-a1b6-4db6-873a-654f4f3438a0","ff54ff9c-83b5-4de8-afaa-07631228580f","PreservedSpecimen","1939-03-05",1939,3,5,"PH","Bayard Long","United States","Gloucester","New Jersey","Locality: along Four Mile Branch, NNE of Radix Occurrence Remarks: NA Verbatim Locality: NA",39.7,-74.94,1406,NA,"moist, peaty, open pine & gum thickets","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"41079be9-ec0f-491a-af44-4c5698c8cf59","50a1d2c3-80f8-4981-a1f6-64ed71e076ed","PreservedSpecimen","1900-04-20",1900,4,20,"PH","Otway H. Brown","United States","Cape May","New Jersey","Locality: Belleplain Occurrence Remarks: NA Verbatim Locality: NA",39.27,-74.87,1045,NA,"damp pine barrens","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"4194ec36-d6b6-4d29-a59a-1fa126869199","d7c79419-0ae2-48df-9416-fba168dc1129","PreservedSpecimen","1941-06-08",1941,6,8,"PH","Bayard Long","United States","Ocean","New Jersey","Locality: W of Lahaway Plantation Occurrence Remarks: NA Verbatim Locality: NA",40.13,-74.47,1437,NA,"moist, sandy, pine woods","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"44992973-60be-4dc6-b6a8-29db15de0191","0742b6f1-1ae3-485c-ad8d-4ec7cfadb9db","PreservedSpecimen","1939-10-08",1939,10,8,"PH","Bayard Long","United States","Cumberland","New Jersey","Locality: Manantico Occurrence Remarks: NA Verbatim Locality: NA",39.36,-74.99,1099,NA,"moist land pine woods","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"466d93a6-5ef6-452a-8956-33b6566db37e","f42be3e8-ef64-4411-8824-bd70e6384f30","PreservedSpecimen","1937-09-24",1937,9,24,"PH","Joseph W. Adams","United States","Atlantic","New Jersey","Locality: along Great Egg Harbor River at 12th Street, 1 mile S of Folsom Occurrence Remarks: NA Verbatim Locality: NA",39.59,-74.85,200,NA,"dry open scrub","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"46fba988-af0f-4c92-8bbe-29ad1eef88a5","9a8f365f-9fc4-4495-9edd-3bdb1b126fb0","PreservedSpecimen","1937-09-16",1937,9,16,"PH","Joseph W. Adams","United States","Burlington","New Jersey","Locality: 0.5-1.75 mi. SSE of Hampton Furnace Occurrence Remarks: NA Verbatim Locality: NA",39.75,-74.67,1070,NA,"open sandy pine-barrens","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"4b59f260-bcb0-4876-93eb-8679d69b4252","729e090a-c770-4f9b-b72f-fff66e1ec7f1","PreservedSpecimen","1934-04-25",1934,4,25,"PH","John M. Fogg, Jr.","United States","Camden","New Jersey","Locality: along railroad, Williamstown Junction Occurrence Remarks: NA Verbatim Locality: NA",39.75,-74.93,760,NA,"dry open sand","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"4b84a3ea-df06-4a70-85de-d1c9cf2b25a1","86e7cc1c-b256-44f8-971b-c1045f7db9a1","PreservedSpecimen","1884-08-30",1884,8,30,"PH","L. H. Lighthipe","United States","Burlington","New Jersey","Locality: Pemberton Occurrence Remarks: NA Verbatim Locality: NA",39.97,-74.68,1401,NA,NA,"iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"4df5fc09-3f14-4ade-9588-c32a8f352f14","87e030c1-d8e8-4756-8f5c-447b84126b77","PreservedSpecimen","1987-08-18",1987,8,18,"University of Vermont","Hill, S. R.","United States","Burlington","New Jersey","Locality: W side Rte. 563, 0.6 mi N of Rte. 532, Chatsworth Occurrence Remarks: Frequent, mostly along roadcuts; Prostate perennial Verbatim Locality: NA",39.83,-74.54,100,NA,"Pine barrens near bog; Dry to wet sand","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"50113c87-a2f9-49d5-9d10-1fee859847b1","03864816-3b48-48d1-90fe-29908ff253ac","PreservedSpecimen","1958-09-20",1958,9,20,"MOAR","Joseph W. Adams; Myrtle T. Adams","United States","Atlantic","New Jersey","Locality: 1 mi E of Devonshire Occurrence Remarks: NA Verbatim Locality: NA",39.54,-74.65,5241,NA,"edge of sphagnous low open spot","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"53616450-de03-4702-89ec-e834b38b05e4","8144bd85-59ee-407a-a128-b6519e5c6a24","PreservedSpecimen","1936-11-01",1936,11,1,"PH","John M. Fogg, Jr.","United States","Camden","New Jersey","Locality: 1 mile E of Jackson Occurrence Remarks: NA Verbatim Locality: NA",39.78,-74.84,1032,NA,"open sandy woods","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"55d836fc-3a8d-412b-b2c9-bc21eecdb6a9","3a7cfe05-8a5e-4f9f-aa34-2000413b1e49","PreservedSpecimen","1938-10-19",1938,10,19,"PH","F. R. Fosberg","United States","Gloucester","New Jersey","Locality: 1 mi N of Cedar Lake Occurrence Remarks: NA Verbatim Locality: NA",39.6,-74.94,1315,NA,"open pine woods","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"566865f1-8746-4a96-abea-8f5d37e00196","0180fefb-79c7-4591-87c2-e6331f643199","PreservedSpecimen","1907-05-30",1907,5,30,"IND","Kenneth K. Mackenzie","United States","Ocean","New Jersey","Locality: Tom's River Occurrence Remarks: NA Verbatim Locality: NA",39.95,-74.17,1880,NA,"Pine-barrens","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"56ddeda6-7229-4411-a3c7-1d6738e3976b","5cd8dd3f-3bf6-4421-a4c3-6c7781a8590a","PreservedSpecimen","1939-08-11",1939,8,11,"PH","Bayard Long","United States","Camden","New Jersey","Locality: along Mullica River, at Goshen Bridge, 4 mi. E of Jackson Occurrence Remarks: NA Verbatim Locality: NA",39.78,-74.8,1393,NA,"moist, sandy and peaty, open thickets","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"5c292d53-b73d-4c00-a520-3998169d76a7","7ad840f4-4777-4e96-8852-3bcc0a5a2417","PreservedSpecimen","1891-06-03",1891,6,3,"PH","Joseph A. Crawford","United States","Atlantic","New Jersey","Locality: Egg Harbor Occurrence Remarks: NA Verbatim Locality: NA",39.52,-74.65,5605,NA,NA,"iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"60d6a25e-ce07-417c-8d17-dab3deb5f4e9","4202C38D-1B92-4F25-96A9-781BF978EECA","PreservedSpecimen","1957-06-27",1957,6,27,"CM","Buker, W.E.","United States","Ocean","New Jersey","Locality: near Whiting Occurrence Remarks: NA Verbatim Locality: NA",39.95,-74.38,3036,NA,"high plains","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"60eea43e-53e1-4058-8252-8b5f66f79b68","d82d956f-3972-43d2-9913-16523dc97544","PreservedSpecimen","1940-10-29",1940,10,29,"PH","Bayard Long","United States","Burlington","New Jersey","Locality: by Goose Pond, ca. 2.5 mi SE of Dukes Bridge Occurrence Remarks: NA Verbatim Locality: NA",39.78,-74.48,322,NA,"moist, sandy, peaty pine-scrub","iDigBio","Pyxidanthera barbulata"
"Pyxidanthera barbulata","Pyxidanthera","barbulata",NA,"6233d159-2692-43d1-9bb2-0a4ea6276056","a34fc9c7-5feb-4cc9-a6f4-c6556878e2c8","PreservedSpecimen","1885-05-01",1885,5,1,"PH","John E. Peters","United States","Monmouth","New Jersey","Locality: near Asbury Park Occurrence Remarks: NA Verbatim Locality: NA",40.22,-74.01,1865,NA,NA,"iDigBio","Pyxidanthera barbulata"
