"name","basis","date","institutionID","collectionCode","collectionID","country","county","state","locality","Latitude","Longitude","ID","coordinateUncertaintyInMeters","informationWithheld","habitat","prov","spocc.latitude","spocc.longitude","spocc.prov","spocc.date","spocc.name"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1974-05-14",NA,"CONN",NA,"United States of America","Burlington County","New Jersey","Calico Ridge Campsite, Oswego River, Jenkins, Washington Township",39.65805,-74.52777,"415983487","5000",NA,"Growing in very wet peat at edge of river","gbif",39.65805,-74.52777,"gbif",1974-05-14,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1974-05-14",NA,"CONN",NA,"United States of America","Burlington County","New Jersey","Calico Ridge Campsite, Oswego River, Jenkins, Washington Township",39.65805,-74.52777,"415983487","5000",NA,"Growing in very wet peat at edge of river","gbif",39.65805,-74.52777,"bison",1974-05-14,"Pyxidanthera barbulata"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1974-08-27",NA,"CONN",NA,"United States of America","Burlington County","New Jersey","Wharton State Forest, Burlington County",39.71611,-74.79777,"415983485",NA,NA,"Low Xerophitic of pine barren","gbif",39.71611,-74.79777,"gbif",1974-08-27,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1974-08-27",NA,"CONN",NA,"United States of America","Burlington County","New Jersey","Wharton State Forest, Burlington County",39.71611,-74.79777,"415983485",NA,NA,"Low Xerophitic of pine barren","gbif",39.71611,-74.79777,"bison",1974-08-27,"Pyxidanthera barbulata"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1974-10-26",NA,NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2","United States of America","Harnett","North Carolina",NA,NA,NA,"2234339825",NA,NA,NA,"gbif",NA,NA,"gbif",1974-10-26,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1974-10-26",NA,NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2","United States of America","Harnett","North Carolina",NA,NA,NA,"2234339825",NA,NA,NA,"gbif",35.3686,-78.869316,"bison",1974-10-26,"Pyxidanthera barbulata"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1974-01-01",NA,NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2","United States of America","Chesterfield","South Carolina",NA,NA,NA,"2234338988",NA,"field values redacted: eventDate, month, day, startDayOfYear",NA,"gbif",NA,NA,"gbif",1974-01-01,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1974-01-01",NA,NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2","United States of America","Chesterfield","South Carolina",NA,NA,NA,"2234338988",NA,"field values redacted: eventDate, month, day, startDayOfYear",NA,"gbif",34.63978,-80.158714,"bison",1974-01-01,"Pyxidanthera barbulata"
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1973-04-07",NA,NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2","United States of America","Columbus","North Carolina","Green Swamp NC 130 2.2 miles S of Jct. Exum rd.",34.202105,-78.628709,"2234339206","14007",NA,NA,"gbif",34.202105,-78.628709,"gbif",1973-04-07,"Pyxidanthera barbulata Michx."
"Pyxidanthera barbulata Michx.","PRESERVED_SPECIMEN","1973-04-07",NA,NA,"17f2d0fa-39a6-4465-8055-1d6fc12eeda2","United States of America","Columbus","North Carolina","Green Swamp NC 130 2.2 miles S of Jct. Exum rd.",34.202105,-78.628709,"2234339206","14007",NA,NA,"gbif",34.265404,-78.65507,"bison",1973-04-07,"Pyxidanthera barbulata"
