"name","basis","date","institutionID","collectionCode","collectionID","country","county","state","locality","Latitude","Longitude","ID","coordinateUncertaintyInMeters","informationWithheld","habitat","prov","spocc.latitude","spocc.longitude","spocc.prov","spocc.date","spocc.name"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"274b5332-1247-4374-b124-c819b814cd6e","united states","wake","north carolina",NA,NA,NA,"059e8b68-040d-4a1d-9901-b0b38f1781d4",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax urceolata"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"2bed6ae5-afde-45bb-95a9-c4918414f02d","united states","watauga","north carolina",NA,NA,NA,"05bad93d-aa87-4f3a-a6c7-b32e247524a9",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax urceolata"
"galax aphylla","PreservedSpecimen",NA,NA,NA,"512d3c7f-fb50-4ef3-b2fd-4e1847b513fc",NA,NA,NA,NA,NA,NA,"05e23dbf-41a3-497b-8316-d0df7101acc3",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax aphylla"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"af20dc32-b745-4ccd-bb8f-7fb9a76717cf","united states","buncombe","north carolina",NA,NA,NA,"05e75be2-2eb7-466e-a3a6-cae455f1a5d1",NA,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, minimumElevationInMeters, verbatimElevation, habitat",NA,"idigbio",NA,NA,"idigbio",1967-01-14,"galax urceolata"
"galax urceolata","PreservedSpecimen","1938-06-04",NA,NA,"urn:lsid:biocol.org:col:15610","united states","elbert county","georgia","Elbert County, GA",NA,NA,"064816ad-de35-4521-a95e-d7fa1eb9cd72",NA,NA,NA,"idigbio",NA,NA,"idigbio",1938-06-04,"galax urceolata"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"2bed6ae5-afde-45bb-95a9-c4918414f02d","united states","watauga","north carolina",NA,NA,NA,"06547ae3-4d9f-4ac4-8201-1178c13d64ee",NA,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, minimumElevationInMeters, maximumElevationInMeters, decimalLatitude, decimalLongitude, verbatimCoordinates, habitat",NA,"idigbio",NA,NA,"idigbio",2019-12-19,"galax urceolata"
"galax aphylla","PreservedSpecimen","1982-06-28",NA,"botany","a3883acd-bc7d-40f2-a6e4-372a3435e5d1","united states","macon","north carolina","ca 3.5 mi N of Highlands on US 64, near Whiteside Mt., Nantahala National Forest",NA,NA,"067a53e6-f893-4f7f-a829-981b2ea394e4",NA,NA,"mesic woodlot edge","idigbio",NA,NA,"idigbio",1982-06-28,"galax aphylla"
"galax aphylla","PreservedSpecimen",NA,NA,"vascular plants","17f2d0fa-39a6-4465-8055-1d6fc12eeda2","united states","ashe","north carolina",NA,NA,NA,"067d4d33-b551-4ad6-a7d2-aff2372b525a",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax aphylla"
"galax aphylla","PreservedSpecimen",NA,NA,NA,"2ed46b16-88bf-42e8-b7bc-904c921e8651","united states",NA,"north carolina",NA,NA,NA,"06ba3ebc-e044-45f5-8e79-8210419964db",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax aphylla"
"galax urceolata","PreservedSpecimen",NA,NA,NA,"f47e53b3-aa90-449a-87df-64f4d442f687","united states",NA,"virginia",NA,NA,NA,"06e73628-00a4-4421-a791-1a4a826755a3",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax urceolata"
"galax urceolata","PreservedSpecimen",NA,"university of florida herbarium",NA,NA,"united states","mcdowell","north carolina",NA,35.7302,-81.90382,"0767e7a0-9996-410a-9894-9b6c5c63cfac",NA,"location information not given for endangered species",NA,"idigbio",35.7302,-81.90382,"idigbio",NA,"galax urceolata"
"galax aphylla","PreservedSpecimen",NA,NA,NA,"48213078-a804-4ef1-93bb-0ac993455571","united states","harlan","kentucky",";",NA,NA,"076f1050-0b45-46d6-8234-dd3f7ae44462",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax aphylla"
"galax aphylla","PreservedSpecimen",NA,"urn:lsid:biocol.org:col:15463","us","urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8","united states",NA,"west virginia","Raleigh County. Park behind Wilson High School.",NA,NA,"079e8164-681e-4005-b744-8d55ee59746c",NA,NA,NA,"idigbio",NA,NA,"idigbio",1941-06-10,"galax aphylla"
"galax aphylla","PreservedSpecimen",NA,NA,NA,"c31f7b34-ad1c-4b15-828e-b44954d2f567","united states","pitt","north carolina",NA,NA,NA,"07f2661f-0e62-4399-8914-53af6d866a90",NA,NA,NA,"idigbio",NA,NA,"idigbio",NA,"galax aphylla"
