"name","basis","date","institutionID","collectionCode","collectionID","country","county","state","locality","Latitude","Longitude","ID","coordinateUncertaintyInMeters","informationWithheld","habitat","prov","spocc.latitude","spocc.longitude","spocc.prov","spocc.date","spocc.name"
"Pyxidanthera brevifolia","specimen","1928-03-14","http://www.nmnh.si.edu/","National Museum of Natural History, Smithsonian Institution","http://collections.nmnh.si.edu/ipt/resource?r=nmnh_extant_dwc-a","US",NA,"North Carolina","Spout Springs, Harnett Co.",NA,NA,"2235754035",NA,NA,NA,"bison",NA,NA,"bison",1928-03-14,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","observation","2018-03-04","http://www.inaturalist.org","iNaturalist.org","https://www.inaturalist.org/observations?created_d2=2019-03-28T18%3A00%3A45-07%3A00&license%5B%5D=CC0&license%5B%5D=CC-BY&license%5B%5D=CC-BY-NC&quality_grade=research","US","Chesterfield","South Carolina","Carolina Sandhills National Wildlife Refuge, Patrick, SC, US",34.567204,-80.18938,"1836588893","5.0",NA,NA,"bison",34.567203,-80.189378,"gbif",2018-03-04,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","observation","2018-03-04","http://www.inaturalist.org","iNaturalist.org","https://www.inaturalist.org/observations?created_d2=2019-03-28T18%3A00%3A45-07%3A00&license%5B%5D=CC0&license%5B%5D=CC-BY&license%5B%5D=CC-BY-NC&quality_grade=research","US","Chesterfield","South Carolina","Carolina Sandhills National Wildlife Refuge, Patrick, SC, US",34.567204,-80.18938,"1836588893","5.0",NA,NA,"bison",34.567204,-80.18938,"bison",2018-03-04,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen","1960-03-27",NA,"GBIF-Sweden","http://www.gbif.se/ipt/resource.do?r=s-fbo","US",NA,NA,"USA: N. Carolina, Harnett County",NA,NA,"1096330577",NA,NA,NA,"bison",NA,NA,"gbif",1960-03-27,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen","1960-03-27",NA,"GBIF-Sweden","http://www.gbif.se/ipt/resource.do?r=s-fbo","US",NA,NA,"USA: N. Carolina, Harnett County",NA,NA,"1096330577",NA,NA,NA,"bison",NA,NA,"bison",1960-03-27,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","observation","2020-02-08","http://www.inaturalist.org","iNaturalist.org","https://www.inaturalist.org/observations?created_d2=2019-03-28T18%3A00%3A45-07%3A00&license%5B%5D=CC0&license%5B%5D=CC-BY&license%5B%5D=CC-BY-NC&quality_grade=research","US","Moore","North Carolina","North Carolina, US",35.18085,-79.357086,"2573982497","28734.0",NA,NA,"bison",35.180851,-79.357083,"gbif",2020-02-08,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","observation","2020-02-08","http://www.inaturalist.org","iNaturalist.org","https://www.inaturalist.org/observations?created_d2=2019-03-28T18%3A00%3A45-07%3A00&license%5B%5D=CC0&license%5B%5D=CC-BY&license%5B%5D=CC-BY-NC&quality_grade=research","US","Moore","North Carolina","North Carolina, US",35.18085,-79.357086,"2573982497","28734.0",NA,NA,"bison",35.18085,-79.357086,"bison",2020-02-08,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen",NA,"http://herbarium.unc.edu","University of North Carolina at Chapel Hill Herbarium (NCU)","http://sernecportal.org/portal/collections/misc/collprofiles.php?collid=206","US","Harnett","North Carolina",NA,35.3686,-78.869316,"2234528834",NA,NA,NA,"bison",NA,NA,"gbif",NA,"Pyxidanthera brevifolia Wells"
"Pyxidanthera brevifolia","specimen",NA,"http://herbarium.unc.edu","University of North Carolina at Chapel Hill Herbarium (NCU)","http://sernecportal.org/portal/collections/misc/collprofiles.php?collid=206","US","Harnett","North Carolina",NA,35.3686,-78.869316,"2234528834",NA,NA,NA,"bison",35.3686,-78.869316,"bison",NA,"Pyxidanthera brevifolia"
"Pyxidanthera brevifolia","specimen","1972-01-01","http://herbarium.unc.edu","University of North Carolina at Chapel Hill Herbarium (NCU)","http://sernecportal.org/portal/collections/misc/collprofiles.php?collid=206","US","Harnett","North Carolina",NA,35.3686,-78.869316,"2234463988",NA,NA,NA,"bison",35.263297,-79.050479,"gbif",1972-03-18,"Pyxidanthera barbulata var. brevifolia (Wells) H.E.Ahles"
