"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","datecollected","collector","recordset"
"1de6220e-7509-4c77-a67d-93da93a4a310","ad0c44ee-b599-4edc-a922-c822f009403f","ncu00332750","diapensiaceae","pyxidanthera","pyxidanthera barbulata","united states","north carolina",NA,NA,NA,NA,"4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"1dec95c1-d180-46a0-9904-d630117c90b2","c14192d1-5c47-4f1a-a415-15f7f524ff81","odu00020342","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,"1966-05-09","a.m. harvill","0038ce2e-43bb-4f70-8dd6-dca34efd3fca"
"1e071827-593c-455e-afe4-00efc96e26d5","c2aa444c-24f0-42de-8c39-d06c4800f678","barcode-00638437","diapensiaceae","diapensia","diapensia lapponica linnaeus","united states","new hampshire",NA,NA,NA,"e. faxon & c. e. faxon","7450a9e3-ef95-4f9e-8260-09b498d2c5e6"
"1e0935fa-1620-43a5-978c-7a37fd54a7d1","que0025168","que0025168","diapensiaceae","diapensia","diapensia lapponica linnaeus","canada","québec",-66.195556,48.921389,"1957-08-19T19:57:00-23:00","cayouette, richard; bouchard, rodrigue; lefrançois, gilles","237d30ca-7675-4840-b4fd-96771fabf518"
"1e0b6573-ff8d-4c91-8d4c-0cd428c9f985","http://coldb.mnhn.fr/catalognumber/mnhn/p/p06899519","p06899519","diapensiaceae","shortia","shortia galacifolia torr. & a.gray",NA,NA,NA,NA,NA,NA,"616857b7-f952-44ef-9b6f-576dc1e65b51"
"1e306e8e-a148-4032-8409-ca47ae4e30f2","0b7cc68e-e6d3-4c48-8836-c93dfb120366","brit797799","diapensiaceae","galax","galax",NA,NA,NA,NA,NA,NA,"70abba3e-5f2a-4276-87f3-261706e24453"
"1e319af8-bdf4-4ec6-ae12-0deb160993e2","http://coldb.mnhn.fr/catalognumber/mnhn/p/p00480087","p00480087","diapensiaceae","diapensia","diapensia lapponica l.","norvège",NA,NA,NA,"1854-07-13T00:00:00+00:00","zetterstedt, j.e.","616857b7-f952-44ef-9b6f-576dc1e65b51"
"1e3d75cd-a49e-4138-bc85-a4502e19bde8","b2f1ddfd-9c2c-4a63-b4b7-8f7a3c1aabfa","4227431","diapensiaceae","galax","galax aphylla l.",NA,NA,NA,NA,NA,NA,"36d35b23-113e-4633-90ec-19d265a3b5f6"
"1e41eebb-b30e-4336-9224-8c158c5b1580","ups:bot:v-210535","v-210535","diapensiaceae","diapensia","diapensia lapponica","sweden","lycksele lappmark",NA,NA,"1854-06-10T00:00:00+00:00","ferdinand unander","62a36329-6b82-48bc-94d8-1cb9adb91ab5"
"1e4db122-fab2-432a-b4bf-e912b6ea153c","9b8f6fe1-b869-4a8b-948d-9a7fbb59547d","duke10095584","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"1e63154b-eb5d-4b6f-b11b-3c6d4ac5bc96","http://n2t.net/ark:/65665/35f8d4654-9dbb-4653-988b-66b016e4b40c","us 2998570","diapensiaceae","shortia","shortia galacifolia","united states","south carolina",NA,NA,"1959-07-17","f. j. hermann","a6eee223-cf3b-4079-8bb2-b77dad8cae9d"
