"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","datecollected","collector","recordset"
"0004eaf7-da0a-4c11-8722-524d49b490e4","http://data.biodiversitydata.nl/naturalis/specimen/l.1572330",NA,"asteraceae","hieracium","hieracium schultesii f.schultz subsp. schultziorum (nägeli & peter) zahn","switzerland",NA,NA,NA,"1961-08-01T00:00:00+00:00","soest jl van","fabcdc12-9d29-4bd2-912b-176e71818144"
"0004eb05-0a6c-408e-905c-03d6a598ed2d","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?hsc93620&related=yes","hsc93620","asteraceae","logfia","logfia gallica","united states","california",NA,NA,"1995-06-27T00:00:00+00:00","f. bowcutt","0b17c21a-f7e2-4967-bdf8-60cf9b06c721"
"0004eb35-8bc2-451f-85b9-32aa232c6fce","urn:catalog:cas:bot-bc:290738","290738","asteraceae","crepis","crepis occidentalis subsp. conjuncta  (jeps.) babc. & stebbins","united states","california",NA,NA,"1901-06-27T00:00:00+00:00","chandler, harley p.","26f7cbde-fbcb-4500-80a9-a99daa0ead9d"
"0004ebf8-165f-4498-b7f4-0714a6867574","bra:uepa:mfs:0000007794","007794","asteraceae","tagetes","tagetes erecta","brasil","pará",-47.539169,-1.336822,"2018-01-26","pereira, j.m.l.","2b21081c-d5e9-49bd-b29a-0b6e4a551b78"
"0004f15e-4430-4230-be57-430c27e46e9c","76ed7b43-af03-47ec-b245-0ccaa4cee3c8","ncu00088931","asteraceae","silphium","silphium asteriscus subsp. trifoliatum","united states","north carolina",NA,NA,"1958-07-09T00:00:00+00:00","ahles, harry e.","4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
"0004f165-9207-4bc8-8ec4-856ea8c6b84a","ba22d687-2c29-41b4-89b9-64a40e3aab11","nlu0048530","asteraceae","coreopsis","coreopsis lanceolata","united states","louisiana",NA,NA,"1968-04-28T00:00:00+00:00","lyn adams","e60301d9-9b40-483f-92de-065769b9d3dd"
"0004f177-20ac-49e5-a0e4-fea6032e17ae","http://coldb.mnhn.fr/catalognumber/mnhn/p/p02583232","p02583232","asteraceae","craspedia","craspedia richea cass.",NA,NA,NA,NA,NA,NA,"616857b7-f952-44ef-9b6f-576dc1e65b51"
"0004f459-484f-448c-b856-cd8bf7e64e67","f9212b0f-f279-4b6f-bb35-5cc8075bc0c8",NA,"asteraceae","erigeron","erigeron annuus","united states","illinois",NA,NA,"1949-09-01T00:00:00+00:00","r.a. evers","f0174bc9-0cca-450e-a941-655d80040139"
"0004f670-66bd-4391-800b-10bea2be810f","2101a9d0-5871-41ad-8aca-3530a60110dd","cbg 8900619.1","asteraceae","olearia","olearia archeri lander","australia","tasmania",147.8333,-42.75,"1989-01-26T00:00:00+00:00","davies, f.e.","c55ac6d0-180d-41be-829a-e82898c5ca54"
"0004f956-1422-4996-808f-2252cd1d0cdd","156c8be1-aeac-4bb3-8189-d7a0576ddec6","mca0027086","asteraceae","antennaria","antennaria plantaginifolia","united states","pennsylvania",NA,NA,"1914-05-24T00:00:00+00:00","harold w. pretz","005ac06a-3d9a-46ad-ac3c-062aaa5b7059"
"0004ff7b-f35b-4d98-89d8-d2edb01110bb","urn:uuid:d9e24476-8107-4dfa-8075-a810a2390722","519304","asteraceae","symphyotrichum","symphyotrichum lanceolatum var. lanceolatum","united states","minnesota",-92.893692,45.0578,"1993-07-07T00:00:00+00:00","lobien, d.","e2def7e2-1455-4856-9823-6d3738417d24"
"00050746-7862-4699-9382-d371bc8c821a","0ad273b3-f39d-4ad4-a70f-546d18ff4a6e","v0031110wis","asteraceae","packera","packera aurea","united states","wisconsin",NA,NA,NA,"lapham, i.","9e5aede6-bee5-4a3d-a255-513771b20035"
"0005078a-fdb6-494d-8048-89fa4e70bf2c","urn:catalog:cas:bot-bc:349566","349566","asteraceae","monolopia","monolopia lanceolata  nutt.","united states","california",NA,NA,"1948-05-08T00:00:00+00:00","hoover, r. f.","26f7cbde-fbcb-4500-80a9-a99daa0ead9d"
"00050df2-fbfa-4e28-8909-1a8266bfde24","http://ucjeps.berkeley.edu/cgi-bin/new_detail.pl?hsc75268&related=yes","hsc75268","asteraceae","microseris","microseris nutans","united states","california",-123.9856667,41.81336111,"1979-06-13T00:00:00+00:00","overton, butler","0b17c21a-f7e2-4967-bdf8-60cf9b06c721"
"00050e15-5fef-45a9-98d5-f647f4e98c64","http://coldb.mnhn.fr/catalognumber/mnhn/p/p02668769","p02668769","asteraceae","unxia","unxia camphorata l.f.",NA,NA,NA,NA,NA,NA,"616857b7-f952-44ef-9b6f-576dc1e65b51"
"0005129b-89be-4e5c-a801-d05f8c1bb95f","urn:catalog:uach:bangev:secm-fil-426:d8aee27d3cf32206ff4c5b10cea1eac8","secm-fil-426","asteraceae","tagetes","tagetes filifolia","mexico","puebla",-97.9597222,19.9425,"2004-04-12T00:00:00+00:00","scma","0582c7d8-f9f8-4f1b-acab-9bb5598c10c4"
"00051f60-730c-4859-b992-9ef69b9ecca8","s:vascularplants:s10-32369","s10-32369","asteraceae","pseudognaphalium","pseudognaphalium","colombia","caldas",NA,NA,"1942-04-01T00:00:00+00:00","kjell von sneidern","fc014977-92f7-47fd-92d7-b609c39d8212"
"00051fb6-a39e-401a-bfa3-a8cdd15e6bf4","0956b07d-67be-4159-8366-240250e6a4a3","169635","asteraceae","grindelia","grindelia oxylepis greene","mexico","chihuahua",NA,NA,"1886-09-17T00:00:00+00:00","c. g. pringle","36d35b23-113e-4633-90ec-19d265a3b5f6"
"0005232a-06e5-4636-8b57-fb503199f6b4","http://data.biodiversitydata.nl/naturalis/specimen/l.1572491",NA,"asteraceae","hieracium","hieracium praecox sch.bip. subsp. glauciniforme","switzerland",NA,NA,NA,"1930-07-31T00:00:00+00:00","soest jl van","fabcdc12-9d29-4bd2-912b-176e71818144"
"00052698-c10c-46c3-b3a4-766967270929","8ee772d9-cbac-467b-809a-1421fd478b52","ncu00354569","asteraceae","arnoglossum","arnoglossum atriplicifolium","united states","north carolina",NA,NA,NA,NA,"4e3043a6-d48a-4a35-b5fb-f67d50cbc158"
