"uuid","occurrenceid","catalognumber","family","genus","scientificname","country","stateprovince","geopoint.lon","geopoint.lat","datecollected","collector","recordset"
"13adf0e9-ac1f-4e52-bf84-6d33f8b9dee1","07a03186-5ef7-4d21-bb27-2fbb00deb180","duke10095561","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"148c4794-b61d-4611-8158-dbf4410fc79f","194f1bc6-8ec2-4f0b-85e1-e7f6a4890887","cm327822","diapensiaceae","galax","galax urceolata","united states","virginia",NA,NA,"1986-10-31","wieboldt, t.w.","db6c3db9-1e6d-4def-af29-33aa0339bfa9"
"149485bf-495e-4720-86e8-c987cf80dfd3","e3e18cf8-9818-4a26-9dc4-dd4a69cdba13","duke10095604","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,NA,NA,"6258d160-a7aa-4937-bce3-3538eebd374f"
"15add81d-9d79-4da8-b352-757908a7ec2a","d6dafdd8-8eac-42f6-8529-9d893f77076d",NA,"diapensiaceae","galax","galax urceolata","united states","tennessee",NA,NA,"2006-10-09","loy r. phillippe, paul b. marcum, michael j.c. murphy, & jim payne","f0174bc9-0cca-450e-a941-655d80040139"
"15e3814e-7cf8-47d4-97e7-24aa40169c85","2ade7376-2803-4992-9909-305e2e939e52","aasu003140","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,"1967-05-20T00:00:00+00:00","leaich, laurie","43c69d2a-0fd2-4d34-a1ef-50d0f9c01353"
"15ebe542-272b-4723-a6e4-9badc6e6d0fa","urn:uuid:e51ba361-772c-4425-a768-d377a5167860","vsc0021159","diapensiaceae","galax","galax urceolata","united states","georgia",NA,NA,"1974-10-19T00:00:00+00:00","wayne r. faircloth","76fd34da-4892-4821-858d-98fe9e28ba8b"
"16bfb2d1-43d5-4ec0-a7c4-469938ba91e4","45797efc-27a5-11e3-8d47-005056be0003","lsu00085809","diapensiaceae","galax","galax urceolata","united states","tennessee",NA,NA,"1977-06-05T00:00:00+00:00","garrie p. landry; r. dale thomas","4523e216-ee13-4b15-a3f7-a6fd56431604"
"1816d62d-68fc-480f-8e69-449a48222e54","9beb9bf7-120c-46b6-8f68-377edfd67222","275428","diapensiaceae","galax","galax urceolata","united states","north carolina",-79.36826896,35.153518,NA,"michelle gaynor","781fd581-7b93-471e-a025-413e4bcd8491"
"186e306b-6ccd-44de-8b1a-9961a6e7c231","cc210231-6787-4156-a099-716de8b6e6b7","6242","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,"1968-01-14","whitaker, d.","de67ccab-7d04-43b9-8083-81e45f628505"
"187b1679-6117-45b8-a45d-dbd039db5d55","e784b437-0eff-477b-8731-9b6421139449","1719","diapensiaceae","galax","galax urceolata","united states","north carolina",NA,NA,"1936-01-14","buell, j. h.","de67ccab-7d04-43b9-8083-81e45f628505"
