"locality string","country","state","county","latitude","longitude","correction status","precision","error polygon","multiple results","ID","name","basis"
NA,"united states","north carolina",NA,NA,NA,"","","","","29fc30de-dc1c-4210-9398-e5e400dd8132","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","2a10dbce-6c42-447b-8e7f-83a3b0298899","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","2a26ed10-e7cd-42ec-80be-8d4c20399e0f","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","2a4b2de8-41a0-4394-b50f-aaff29d9faff","shortia galacifolia","PreservedSpecimen"
"Devil's Fork, one mi. W of confluence with Whitewater River, Jocassee community","united states","south carolina","oconee",NA,NA,"","","","","2a4f1fcf-0d72-47cb-bf35-642be26c0ab8","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","2af18887-b0bd-457b-a1f2-f265f7f8e7aa","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens county",NA,NA,"","","","","2b71e7ca-7a9f-4684-baaf-b41e6dff0e52","shortia galacifolia","PreservedSpecimen"
"Reed Creek, South of Glade Mountain","united states","georgia","rabun county",NA,NA,"","","","","2bb292f8-ef49-4225-9a91-8c543e2574b0","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens",NA,NA,"","","","","2be827d8-aebc-49b7-ae3c-1b38e9579ccc","shortia galacifolia","PreservedSpecimen"
"Keowee River.","united states","south carolina","pickens",NA,NA,"","","","","2da82216-b958-493a-a76b-1c205ad35cca","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","transylvania",NA,NA,"","","","","2fd9238e-ae3c-4262-a08c-2d117f664db2","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens co.",NA,NA,"","","","","329c7a85-bceb-4cdd-bb50-78d662ad49d1","shortia galacifolia","PreservedSpecimen"
"McDowell Co., N.C. [North Carolina]","united states","north carolina","mcdowell",NA,NA,"","","","","3303fa91-340c-440c-83a2-ca2c17545107","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","33da3b27-9749-41e3-9b10-7e2d9850670b","shortia galacifolia","PreservedSpecimen"
NA,"united states","virginia","amherst",NA,NA,"","","","","33e33d8f-758c-4eae-9cca-1fd23329728a","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee county",NA,NA,"","","","","348124ea-9035-4185-bd30-6d39209d8a2a","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina",NA,NA,NA,"","","","","35803f90-ab8d-47d1-bcd0-eae268da08d6","shortia galacifolia","PreservedSpecimen"
NA,NA,NA,NA,NA,NA,"","","","","36188ea6-3ee6-41bf-a784-7f8b4405d1a1","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","macon",NA,NA,"","","","","367080f8-e9ca-457b-8338-13bb4a21ee7f","shortia galacifolia","PreservedSpecimen"
